velocity (v) [m/s],Design A (Fd) [N],Design B (Fd) [N]
1,19.1911568855021,12.5951510404072
2,81.6197920551619,52.7554030454152
3,180.200773261253,117.87714998346
4,322.009906960023,209.464535846318
5,503.414366855117,323.865437736535
6,725.370003045073,468.676706378446
7,985.727738210306,637.080286540339
8,1288.53785777743,832.932438757521
9,1631.89473668986,1052.81515858409
10,2176.2297536089,1304.73937521621
11,2567.5316536117,1781.58232103624
12,2874.09476425693,2117.16510669091
13,3210.58527732161,2307.72981917631
14,4122.8698215112,2483.88321741443
15,4503.10461852744,2850.26668300063
16,4951.52603486447,3400.20211892869
17,5865.2805078492,3942.2996012432
18,6624.30807445843,4405.30077104545
19,6972.72157290979,4267.05379984218
20,8423.28162976942,5188.27535972153
21,8445.4214493297,5538.21814720936
22,9413.14020367854,6196.146519794
23,10892.1484720849,7222.54879171349
24,11656.1252409023,7328.52901333119
25,12492.5463677893,7784.97939568471
26,13607.8089651975,8820.68051226851
27,14817.7638942573,9447.16603115774
28,15603.7733212374,10106.8957687855
29,17110.8774709658,11104.9199044549
30,18251.6459566339,11808.1805987081
31,19330.4952474559,12564.4112108229
32,20647.5953820793,13251.866371034
33,21790.1747406773,14221.6839605524
34,23092.5993567088,14963.2783802113
35,24574.6264825624,15954.3252200456
36,26287.8228889833,16955.8763223503
37,27501.685094343,17857.4408207272
38,28968.5292877578,18630.6671078143
39,30414.4644532893,19658.6067611845
40,31972.0207732011,20583.1831486562
